STORE_NBR,YEARMONTH,Ventas,Unidades,Clientes,Transacciones,Frecuencia,ChipsPorTransaccion,PrecioPromedio,Fecha
3,201902,1146.7,262,113,132,1.168141592920354,1.9848484848484849,4.376717557251909,2019-02-01
3,201903,1083.6,247,106,125,1.179245283018868,1.976,4.387044534412955,2019-03-01
3,201904,843.5,192,85,100,1.1764705882352942,1.92,4.393229166666667,2019-04-01
3,201905,905.1,213,100,113,1.13,1.8849557522123894,4.249295774647887,2019-05-01
3,201906,986.3,228,102,116,1.1372549019607843,1.9655172413793103,4.325877192982456,2019-06-01
4,201807,1318.3,302,121,150,1.2396694214876034,2.013333333333333,4.36523178807947,2018-07-01
4,201808,1188.1,276,118,143,1.2118644067796611,1.93006993006993,4.304710144927536,2018-08-01
4,201809,1168.0,270,117,133,1.1367521367521367,2.030075187969925,4.325925925925926,2018-09-01
4,201810,1275.0,296,119,147,1.2352941176470589,2.0136054421768708,4.3074324324324325,2018-10-01
4,201811,1089.6,254,109,127,1.165137614678899,2.0,4.289763779527559,2018-11-01
4,201812,1134.6,256,102,128,1.2549019607843137,2.0,4.43203125,2018-12-01
4,201901,1402.6,311,125,155,1.24,2.0064516129032257,4.509967845659164,2019-01-01
4,201902,832.4,194,86,96,1.1162790697674418,2.0208333333333335,4.290721649484536,2019-02-01
4,201903,1110.8,254,111,127,1.1441441441441442,2.0,4.373228346456693,2019-03-01
4,201904,1159.1,259,112,129,1.1517857142857142,2.007751937984496,4.475289575289575,2019-04-01
4,201905,885.75,202,94,112,1.1914893617021276,1.8035714285714286,4.38490099009901,2019-05-01
4,201906,1145.0,258,116,129,1.1120689655172413,2.0,4.437984496124031,2019-06-01
5,201807,763.8,222,86,111,1.2906976744186047,2.0,3.4405405405405403,2018-07-01
5,201808,654.5,189,85,99,1.1647058823529413,1.9090909090909092,3.462962962962963,2018-08-01
5,201809,875.2,244,99,122,1.2323232323232323,2.0,3.5868852459016396,2018-09-01
5,201810,740.6,196,81,98,1.2098765432098766,2.0,3.7785714285714285,2018-10-01
5,201811,707.0,206,80,103,1.2875,2.0,3.4320388349514563,2018-11-01
5,201812,800.2,224,90,112,1.2444444444444445,2.0,3.5723214285714286,2018-12-01
5,201901,772.6,216,84,107,1.2738095238095237,2.0186915887850465,3.576851851851852,2019-01-01
5,201902,706.4,206,85,103,1.2117647058823529,2.0,3.429126213592233,2019-02-01
5,201903,603.4,172,76,86,1.131578947368421,2.0,3.5081395348837208,2019-03-01
5,201904,684.4,202,78,101,1.294871794871795,2.0,3.388118811881188,2019-04-01
5,201905,665.5,184,78,93,1.1923076923076923,1.978494623655914,3.6168478260869565,2019-05-01
5,201906,828.6,234,95,117,1.231578947368421,2.0,3.5410256410256413,2019-06-01
6,201807,241.9,68,44,47,1.0681818181818181,1.446808510638298,3.557352941176471,2018-07-01
6,201808,177.6,56,36,39,1.0833333333333333,1.435897435897436,3.1714285714285713,2018-08-01
6,201809,192.20000000000002,53,35,35,1.0,1.5142857142857142,3.626415094339623,2018-09-01
6,201810,268.9,75,49,50,1.0204081632653061,1.5,3.585333333333333,2018-10-01
6,201811,244.70000000000002,70,48,49,1.0208333333333333,1.4285714285714286,3.495714285714286,2018-11-01
6,201812,198.7,53,35,38,1.0857142857142856,1.394736842105263,3.749056603773585,2018-12-01
6,201901,170.70000000000002,47,33,35,1.0606060606060606,1.3428571428571427,3.631914893617022,2019-01-01
6,201902,210.6,58,35,35,1.0,1.6571428571428573,3.6310344827586207,2019-02-01
6,201903,176.9,52,38,39,1.0263157894736843,1.3333333333333333,3.401923076923077,2019-03-01
6,201904,172.3,48,35,35,1.0,1.3714285714285714,3.5895833333333336,2019-04-01
6,201905,228.0,68,44,48,1.0909090909090908,1.4166666666666667,3.3529411764705883,2019-05-01
6,201906,176.4,51,35,36,1.0285714285714285,1.4166666666666667,3.458823529411765,2019-06-01
7,201807,1004.3,224,99,118,1.1919191919191918,1.8983050847457628,4.4834821428571425,2018-07-01
7,201808,1058.7,240,105,124,1.180952380952381,1.935483870967742,4.41125,2018-08-01
7,201809,1096.3,242,107,123,1.1495327102803738,1.967479674796748,4.530165289256198,2018-09-01
7,201810,972.1,216,100,115,1.15,1.8782608695652174,4.500462962962963,2018-10-01
7,201811,1025.5,238,108,124,1.1481481481481481,1.9193548387096775,4.3088235294117645,2018-11-01
7,201812,839.8,200,91,106,1.164835164835165,1.8867924528301887,4.199,2018-12-01
7,201901,929.2,212,100,108,1.08,1.962962962962963,4.3830188679245285,2019-01-01
7,201902,995.8000000000001,228,95,117,1.231578947368421,1.9487179487179487,4.367543859649123,2019-02-01
7,201903,1059.1,246,115,129,1.1217391304347826,1.9069767441860466,4.305284552845528,2019-03-01
7,201904,901.6,203,83,104,1.2530120481927711,1.9519230769230769,4.441379310344828,2019-04-01
7,201905,923.3000000000001,211,96,117,1.21875,1.8034188034188035,4.3758293838862565,2019-05-01
7,201906,1048.8,238,103,123,1.1941747572815533,1.934959349593496,4.40672268907563,2019-06-01
8,201807,361.2,81,38,41,1.0789473684210527,1.975609756097561,4.459259259259259,2018-07-01
8,201808,362.6,83,44,44,1.0,1.8863636363636365,4.368674698795181,2018-08-01
8,201809,282.8,68,35,35,1.0,1.9428571428571428,4.158823529411765,2018-09-01
8,201810,412.6,96,44,48,1.0909090909090908,2.0,4.297916666666667,2018-10-01
8,201811,328.8,76,37,38,1.027027027027027,2.0,4.326315789473685,2018-11-01
8,201812,336.0,75,35,38,1.0857142857142856,1.9736842105263157,4.48,2018-12-01
8,201901,445.0,100,47,50,1.0638297872340425,2.0,4.45,2019-01-01
8,201902,325.0,72,35,36,1.0285714285714285,2.0,4.513888888888889,2019-02-01
8,201903,441.40000000000003,104,48,51,1.0625,2.0392156862745097,4.24423076923077,2019-03-01
8,201904,354.6,79,39,40,1.0256410256410255,1.975,4.488607594936709,2019-04-01
8,201905,334.8,77,42,43,1.0238095238095237,1.7906976744186047,4.348051948051948,2019-05-01
8,201906,300.2,68,31,34,1.096774193548387,2.0,4.414705882352941,2019-06-01
9,201807,271.1,77,43,46,1.069767441860465,1.673913043478261,3.5207792207792212,2018-07-01
9,201808,323.4,93,50,54,1.08,1.7222222222222223,3.4774193548387093,2018-08-01
9,201809,340.5,97,50,54,1.08,1.7962962962962963,3.5103092783505154,2018-09-01
9,201810,330.9,91,49,50,1.0204081632653061,1.82,3.6362637362637362,2018-10-01
9,201811,346.3,100,55,58,1.0545454545454545,1.7241379310344827,3.463,2018-11-01
9,201812,319.5,90,48,50,1.0416666666666667,1.8,3.55,2018-12-01
9,201901,365.7,108,60,61,1.0166666666666666,1.7704918032786885,3.386111111111111,2019-01-01
9,201902,243.8,70,40,41,1.025,1.7073170731707317,3.482857142857143,2019-02-01
9,201903,339.0,92,46,49,1.065217391304348,1.8775510204081634,3.6847826086956523,2019-03-01
9,201904,226.8,65,37,38,1.027027027027027,1.7105263157894737,3.4892307692307694,2019-04-01
9,201905,321.3,96,51,51,1.0,1.8823529411764706,3.3468750000000003,2019-05-01
9,201906,257.4,75,41,42,1.024390243902439,1.7857142857142858,3.4319999999999995,2019-06-01
10,201807,829.2,224,93,112,1.2043010752688172,2.0,3.7017857142857147,2018-07-01
10,201808,857.75,233,95,120,1.263157894736842,1.9416666666666667,3.6813304721030042,2018-08-01
10,201809,888.0,264,109,129,1.18348623853211,2.046511627906977,3.3636363636363638,2018-09-01
10,201810,812.0,226,86,111,1.2906976744186047,2.036036036036036,3.5929203539823007,2018-10-01
10,201811,787.8,224,89,112,1.2584269662921348,2.0,3.5169642857142853,2018-11-01
10,201812,894.0,256,103,126,1.2233009708737863,2.0317460317460316,3.4921875,2018-12-01
10,201901,791.2,224,94,112,1.1914893617021276,2.0,3.5321428571428575,2019-01-01
10,201902,803.2,226,93,113,1.2150537634408602,2.0,3.553982300884956,2019-02-01
10,201903,836.4,234,95,117,1.231578947368421,2.0,3.574358974358974,2019-03-01
10,201904,688.8,194,79,96,1.2151898734177216,2.0208333333333335,3.5505154639175256,2019-04-01
10,201905,719.25,203,84,102,1.2142857142857142,1.9901960784313726,3.543103448275862,2019-05-01
10,201906,665.8,182,76,90,1.1842105263157894,2.022222222222222,3.658241758241758,2019-06-01
11,201810,2.9,1,1,1,1.0,1.0,2.9,2018-10-01
11,201812,3.8,1,1,1,1.0,1.0,3.8,2018-12-01
12,201807,388.8,90,44,45,1.0227272727272727,2.0,4.32,2018-07-01
12,201808,340.4,81,42,43,1.0238095238095237,1.8837209302325582,4.202469135802469,2018-08-01
12,201809,387.0,92,45,46,1.0222222222222221,2.0,4.206521739130435,2018-09-01
12,201810,382.8,86,40,42,1.05,2.0476190476190474,4.4511627906976745,2018-10-01
12,201811,436.2,98,47,49,1.0425531914893618,2.0,4.451020408163266,2018-11-01
12,201812,464.6,108,50,54,1.08,2.0,4.301851851851852,2018-12-01
12,201901,441.6,98,45,48,1.0666666666666667,2.0416666666666665,4.506122448979592,2019-01-01
12,201902,314.0,72,36,36,1.0,2.0,4.361111111111111,2019-02-01
12,201903,471.2,102,46,51,1.108695652173913,2.0,4.6196078431372545,2019-03-01
12,201904,446.8,96,42,47,1.119047619047619,2.0425531914893615,4.654166666666667,2019-04-01
12,201905,355.1,84,45,46,1.0222222222222221,1.826086956521739,4.227380952380953,2019-05-01
12,201906,306.0,72,35,36,1.0285714285714285,2.0,4.25,2019-06-01
13,201807,754.6,224,92,112,1.2173913043478262,2.0,3.36875,2018-07-01
13,201808,709.1,204,90,104,1.1555555555555554,1.9615384615384615,3.475980392156863,2018-08-01
13,201809,794.8,230,92,115,1.25,2.0,3.4556521739130432,2018-09-01
13,201810,773.6,218,87,108,1.2413793103448276,2.0185185185185186,3.5486238532110095,2018-10-01
13,201811,960.0,280,110,138,1.2545454545454546,2.028985507246377,3.4285714285714284,2018-11-01
13,201812,841.6,252,103,124,1.203883495145631,2.032258064516129,3.33968253968254,2018-12-01
13,201901,836.4,234,86,117,1.3604651162790697,2.0,3.574358974358974,2019-01-01
13,201902,770.2,230,92,113,1.2282608695652173,2.0353982300884956,3.3486956521739133,2019-02-01
13,201903,959.2,274,109,134,1.2293577981651376,2.044776119402985,3.5007299270072996,2019-03-01
13,201904,959.8,268,97,131,1.3505154639175259,2.045801526717557,3.5813432835820893,2019-04-01
13,201905,731.5,217,87,116,1.3333333333333333,1.8706896551724137,3.370967741935484,2019-05-01
13,201906,800.0,228,90,114,1.2666666666666666,2.0,3.508771929824561,2019-06-01
14,201807,36.699999999999996,13,7,7,1.0,1.8571428571428572,2.823076923076923,2018-07-01
14,201808,46.800000000000004,14,8,8,1.0,1.75,3.342857142857143,2018-08-01
14,201809,36.9,9,5,5,1.0,1.8,4.1,2018-09-01
14,201810,42.0,11,6,6,1.0,1.8333333333333333,3.8181818181818183,2018-10-01
14,201811,45.0,13,7,7,1.0,1.8571428571428572,3.4615384615384617,2018-11-01
14,201812,24.2,10,5,5,1.0,2.0,2.42,2018-12-01
14,201901,15.0,4,2,2,1.0,2.0,3.75,2019-01-01
14,201902,34.4,10,5,5,1.0,2.0,3.44,2019-02-01
14,201903,13.2,4,2,2,1.0,2.0,3.3,2019-03-01
14,201904,17.3,5,3,3,1.0,1.6666666666666667,3.46,2019-04-01
14,201905,9.4,4,3,3,1.0,1.3333333333333333,2.35,2019-05-01
14,201906,53.2,12,7,7,1.0,1.7142857142857142,4.433333333333334,2019-06-01
15,201807,685.2,190,80,95,1.1875,2.0,3.6063157894736846,2018-07-01
15,201808,778.3,235,100,121,1.21,1.9421487603305785,3.311914893617021,2018-08-01
15,201809,744.4,214,81,107,1.3209876543209877,2.0,3.4785046728971962,2018-09-01
15,201810,784.4,216,86,108,1.255813953488372,2.0,3.6314814814814813,2018-10-01
15,201811,591.2,170,69,85,1.2318840579710144,2.0,3.4776470588235298,2018-11-01
15,201812,847.4,252,95,125,1.3157894736842106,2.016,3.3626984126984127,2018-12-01
15,201901,810.4,226,91,113,1.2417582417582418,2.0,3.5858407079646017,2019-01-01
15,201902,639.4,178,71,88,1.2394366197183098,2.022727272727273,3.5921348314606742,2019-02-01
15,201903,716.6,196,79,98,1.240506329113924,2.0,3.656122448979592,2019-03-01
15,201904,702.6,212,83,106,1.2771084337349397,2.0,3.3141509433962266,2019-04-01
15,201905,713.65,199,88,107,1.2159090909090908,1.8598130841121496,3.586180904522613,2019-05-01
15,201906,768.6,230,90,114,1.2666666666666666,2.017543859649123,3.3417391304347825,2019-06-01
16,201807,99.5,29,28,29,1.0357142857142858,1.0,3.4310344827586206,2018-07-01
16,201808,138.9,37,32,33,1.03125,1.121212121212121,3.754054054054054,2018-08-01
16,201809,130.9,38,32,36,1.125,1.0555555555555556,3.444736842105263,2018-09-01
16,201810,130.5,38,36,38,1.0555555555555556,1.0,3.4342105263157894,2018-10-01
16,201811,150.1,41,40,41,1.025,1.0,3.6609756097560973,2018-11-01
16,201812,169.1,49,43,46,1.069767441860465,1.065217391304348,3.451020408163265,2018-12-01
16,201901,150.7,40,40,40,1.0,1.0,3.7674999999999996,2019-01-01
16,201902,111.3,30,29,30,1.0344827586206897,1.0,3.71,2019-02-01
16,201903,147.5,38,35,38,1.0857142857142856,1.0,3.8815789473684212,2019-03-01
16,201904,82.3,26,26,26,1.0,1.0,3.1653846153846152,2019-04-01
16,201905,121.7,34,27,28,1.037037037037037,1.2142857142857142,3.5794117647058825,2019-05-01
16,201906,104.1,27,27,27,1.0,1.0,3.855555555555555,2019-06-01
17,201807,450.0,102,52,53,1.0192307692307692,1.9245283018867925,4.411764705882353,2018-07-01
17,201808,312.5,70,36,38,1.0555555555555556,1.8421052631578947,4.464285714285714,2018-08-01
17,201809,356.6,79,39,41,1.0512820512820513,1.9268292682926829,4.5139240506329115,2018-09-01
17,201810,300.3,68,37,37,1.0,1.837837837837838,4.416176470588235,2018-10-01
17,201811,362.8,80,38,42,1.105263157894737,1.9047619047619047,4.535,2018-11-01
17,201812,452.8,101,47,52,1.1063829787234043,1.9423076923076923,4.483168316831684,2018-12-01
17,201901,344.2,79,37,41,1.1081081081081081,1.9268292682926829,4.356962025316456,2019-01-01
17,201902,365.6,87,43,45,1.0465116279069768,1.9333333333333333,4.202298850574713,2019-02-01
17,201903,409.7,95,47,49,1.0425531914893618,1.9387755102040816,4.312631578947368,2019-03-01
17,201904,369.8,86,42,46,1.0952380952380953,1.8695652173913044,4.3,2019-04-01
17,201905,333.2,80,42,43,1.0238095238095237,1.8604651162790697,4.165,2019-05-01
17,201906,278.2,65,35,35,1.0,1.8571428571428572,4.28,2019-06-01
18,201807,271.3,74,45,46,1.0222222222222221,1.608695652173913,3.6662162162162164,2018-07-01
18,201808,271.0,72,47,49,1.0425531914893618,1.469387755102041,3.763888888888889,2018-08-01
18,201809,238.9,66,39,43,1.1025641025641026,1.5348837209302326,3.6196969696969696,2018-09-01
18,201810,315.7,90,54,58,1.0740740740740742,1.5517241379310345,3.5077777777777777,2018-10-01
18,201811,252.9,73,45,47,1.0444444444444445,1.553191489361702,3.4643835616438357,2018-11-01
18,201812,224.6,63,32,36,1.125,1.75,3.565079365079365,2018-12-01
18,201901,238.3,63,41,41,1.0,1.5365853658536586,3.782539682539683,2019-01-01
18,201902,182.7,50,30,31,1.0333333333333334,1.6129032258064515,3.654,2019-02-01
18,201903,241.0,67,41,42,1.024390243902439,1.5952380952380953,3.5970149253731343,2019-03-01
18,201904,238.1,67,43,46,1.069767441860465,1.4565217391304348,3.553731343283582,2019-04-01
18,201905,269.6,75,44,45,1.0227272727272727,1.6666666666666667,3.594666666666667,2019-05-01
18,201906,277.4,75,44,46,1.0454545454545454,1.6304347826086956,3.6986666666666665,2019-06-01
19,201807,693.4,156,80,91,1.1375,1.7142857142857142,4.444871794871795,2018-07-01
19,201808,697.0,162,82,93,1.1341463414634145,1.7419354838709677,4.302469135802469,2018-08-01
19,201809,703.2,155,76,88,1.1578947368421053,1.7613636363636365,4.536774193548387,2018-09-01
19,201810,697.2,156,79,89,1.1265822784810127,1.752808988764045,4.469230769230769,2018-10-01
19,201811,713.7,166,83,94,1.1325301204819278,1.7659574468085106,4.299397590361446,2018-11-01
19,201812,601.3,139,75,82,1.0933333333333333,1.6951219512195121,4.325899280575539,2018-12-01
19,201901,935.9,213,106,119,1.1226415094339623,1.7899159663865547,4.393896713615024,2019-01-01
19,201902,665.6,146,74,82,1.1081081081081081,1.7804878048780488,4.558904109589041,2019-02-01
19,201903,528.5,122,64,70,1.09375,1.7428571428571429,4.331967213114754,2019-03-01
19,201904,688.7,156,78,86,1.1025641025641026,1.813953488372093,4.41474358974359,2019-04-01
19,201905,783.2,179,88,102,1.1590909090909092,1.7549019607843137,4.375418994413408,2019-05-01
19,201906,658.3,150,70,81,1.1571428571428573,1.8518518518518519,4.3886666666666665,2019-06-01
20,201807,239.0,63,48,49,1.0208333333333333,1.2857142857142858,3.7936507936507935,2018-07-01
20,201808,188.0,52,38,40,1.0526315789473684,1.3,3.6153846153846154,2018-08-01
20,201809,205.5,61,43,45,1.0465116279069768,1.3555555555555556,3.3688524590163933,2018-09-01
20,201810,162.3,48,40,40,1.0,1.2,3.38125,2018-10-01
20,201811,149.1,43,34,35,1.0294117647058822,1.2285714285714286,3.467441860465116,2018-11-01
20,201812,155.0,45,34,35,1.0294117647058822,1.2857142857142858,3.4444444444444446,2018-12-01
20,201901,175.3,51,38,41,1.0789473684210527,1.2439024390243902,3.4372549019607845,2019-01-01
20,201902,156.7,46,36,37,1.0277777777777777,1.2432432432432432,3.4065217391304343,2019-02-01
20,201903,242.1,69,49,53,1.0816326530612246,1.3018867924528301,3.508695652173913,2019-03-01
20,201904,198.8,55,42,42,1.0,1.3095238095238095,3.6145454545454547,2019-04-01
20,201905,219.05,66,42,44,1.0476190476190477,1.5,3.3189393939393943,2019-05-01
20,201906,257.6,70,49,51,1.0408163265306123,1.3725490196078431,3.68,2019-06-01
21,201807,368.6,84,38,42,1.105263157894737,2.0,4.3880952380952385,2018-07-01
21,201808,499.90000000000003,115,55,62,1.1272727272727272,1.8548387096774193,4.346956521739131,2018-08-01
21,201809,372.4,89,40,45,1.125,1.9777777777777779,4.1842696629213485,2018-09-01
21,201810,321.2,76,36,38,1.0555555555555556,2.0,4.226315789473684,2018-10-01
21,201811,513.6,118,56,59,1.0535714285714286,2.0,4.352542372881356,2018-11-01
21,201812,450.2,102,49,51,1.0408163265306123,2.0,4.413725490196079,2018-12-01
21,201901,405.0,94,44,46,1.0454545454545454,2.0434782608695654,4.308510638297872,2019-01-01
21,201902,366.0,84,40,42,1.05,2.0,4.357142857142857,2019-02-01
21,201903,363.6,86,41,43,1.048780487804878,2.0,4.227906976744186,2019-03-01
21,201904,370.2,86,40,43,1.075,2.0,4.304651162790697,2019-04-01
21,201905,475.8,110,54,60,1.1111111111111112,1.8333333333333333,4.325454545454545,2019-05-01
21,201906,373.0,80,39,40,1.0256410256410255,2.0,4.6625,2019-06-01
22,201807,286.1,89,46,48,1.0434782608695652,1.8541666666666667,3.214606741573034,2018-07-01
22,201808,191.1,57,35,35,1.0,1.6285714285714286,3.3526315789473684,2018-08-01
22,201809,282.1,76,39,40,1.0256410256410255,1.9,3.711842105263158,2018-09-01
22,201810,302.9,84,43,45,1.0465116279069768,1.8666666666666667,3.6059523809523806,2018-10-01
22,201811,259.5,77,41,41,1.0,1.8780487804878048,3.3701298701298703,2018-11-01
22,201812,223.0,65,34,36,1.0588235294117647,1.8055555555555556,3.4307692307692306,2018-12-01
22,201901,319.1,93,46,53,1.1521739130434783,1.7547169811320755,3.431182795698925,2019-01-01
22,201902,344.0,90,44,45,1.0227272727272727,2.0,3.8222222222222224,2019-02-01
22,201903,290.6,85,47,47,1.0,1.8085106382978724,3.418823529411765,2019-03-01
22,201904,309.4,96,50,51,1.02,1.8823529411764706,3.2229166666666664,2019-04-01
22,201905,401.9,105,57,61,1.0701754385964912,1.721311475409836,3.8276190476190473,2019-05-01
22,201906,255.7,74,35,39,1.1142857142857143,1.8974358974358974,3.455405405405405,2019-06-01
23,201807,804.4,224,86,110,1.2790697674418605,2.036363636363636,3.5910714285714285,2018-07-01
23,201808,837.6,240,96,127,1.3229166666666667,1.889763779527559,3.49,2018-08-01
23,201809,645.2,194,82,93,1.1341463414634145,2.086021505376344,3.325773195876289,2018-09-01
23,201810,743.4,206,81,103,1.271604938271605,2.0,3.60873786407767,2018-10-01
23,201811,778.8,226,89,112,1.2584269662921348,2.017857142857143,3.446017699115044,2018-11-01
23,201812,906.6,254,94,125,1.3297872340425532,2.032,3.569291338582677,2018-12-01
23,201901,866.2,252,96,125,1.3020833333333333,2.016,3.4373015873015875,2019-01-01
23,201902,827.6,238,95,117,1.231578947368421,2.034188034188034,3.477310924369748,2019-02-01
23,201903,764.6,210,85,103,1.2117647058823529,2.0388349514563107,3.640952380952381,2019-03-01
23,201904,812.6,226,89,112,1.2584269662921348,2.017857142857143,3.595575221238938,2019-04-01
23,201905,749.7,214,92,113,1.2282608695652173,1.8938053097345133,3.5032710280373833,2019-05-01
23,201906,783.4,224,98,112,1.1428571428571428,2.0,3.4973214285714285,2019-06-01
24,201807,644.0,192,83,96,1.1566265060240963,2.0,3.3541666666666665,2018-07-01
24,201808,753.9,216,87,111,1.2758620689655173,1.945945945945946,3.4902777777777776,2018-08-01
24,201809,759.0,220,86,110,1.2790697674418605,2.0,3.45,2018-09-01
24,201810,789.0,224,86,112,1.302325581395349,2.0,3.5223214285714284,2018-10-01
24,201811,619.0,176,75,85,1.1333333333333333,2.070588235294118,3.5170454545454546,2018-11-01
24,201812,609.4,178,73,89,1.2191780821917808,2.0,3.4235955056179774,2018-12-01
24,201901,770.4,222,94,110,1.1702127659574468,2.018181818181818,3.4702702702702704,2019-01-01
24,201902,656.0,172,72,86,1.1944444444444444,2.0,3.813953488372093,2019-02-01
24,201903,795.6,224,86,111,1.2906976744186047,2.018018018018018,3.5517857142857143,2019-03-01
24,201904,682.6,200,77,100,1.2987012987012987,2.0,3.4130000000000003,2019-04-01
24,201905,750.8,223,87,115,1.3218390804597702,1.9391304347826086,3.3668161434977577,2019-05-01
24,201906,741.6,220,86,109,1.2674418604651163,2.018348623853211,3.370909090909091,2019-06-01
25,201807,394.2,90,42,45,1.0714285714285714,2.0,4.38,2018-07-01
25,201808,304.6,68,31,36,1.1612903225806452,1.8888888888888888,4.479411764705882,2018-08-01
25,201809,378.2,86,41,43,1.048780487804878,2.0,4.397674418604651,2018-09-01
25,201810,456.0,106,50,53,1.06,2.0,4.30188679245283,2018-10-01
25,201811,523.6,120,54,60,1.1111111111111112,2.0,4.363333333333333,2018-11-01
25,201812,441.6,100,46,50,1.0869565217391304,2.0,4.416,2018-12-01
25,201901,413.0,90,43,45,1.0465116279069768,2.0,4.588888888888889,2019-01-01
25,201902,410.2,94,44,47,1.0681818181818181,2.0,4.363829787234042,2019-02-01
25,201903,421.2,98,46,48,1.0434782608695652,2.0416666666666665,4.297959183673469,2019-03-01
25,201904,418.0,94,45,47,1.0444444444444445,2.0,4.446808510638298,2019-04-01
25,201905,379.85,88,44,46,1.0454545454545454,1.9130434782608696,4.316477272727273,2019-05-01
25,201906,430.8,96,45,48,1.0666666666666667,2.0,4.4875,2019-06-01
26,201807,1214.4,280,124,139,1.1209677419354838,2.014388489208633,4.337142857142857,2018-07-01
26,201808,965.3,223,102,117,1.1470588235294117,1.9059829059829059,4.328699551569507,2018-08-01
26,201809,1211.8,266,119,133,1.1176470588235294,2.0,4.55563909774436,2018-09-01
26,201810,1062.6,242,103,121,1.174757281553398,2.0,4.390909090909091,2018-10-01
26,201811,1166.4,260,108,130,1.2037037037037037,2.0,4.486153846153846,2018-11-01
26,201812,1215.0,274,116,137,1.1810344827586208,2.0,4.434306569343065,2018-12-01
26,201901,1123.0,256,108,128,1.1851851851851851,2.0,4.38671875,2019-01-01
26,201902,1038.8,238,99,117,1.1818181818181819,2.034188034188034,4.364705882352941,2019-02-01
26,201903,1241.8,284,125,141,1.128,2.0141843971631204,4.372535211267605,2019-03-01
26,201904,1151.8,266,112,132,1.1785714285714286,2.015151515151515,4.330075187969925,2019-04-01
26,201905,1039.7,234,101,122,1.2079207920792079,1.9180327868852458,4.443162393162393,2019-05-01
26,201906,1166.6,262,106,129,1.2169811320754718,2.0310077519379846,4.4526717557251905,2019-06-01
27,201807,449.7,101,49,51,1.0408163265306123,1.9803921568627452,4.452475247524752,2018-07-01
27,201808,526.9,118,56,60,1.0714285714285714,1.9666666666666666,4.465254237288136,2018-08-01
27,201809,405.8,94,46,47,1.0217391304347827,2.0,4.317021276595745,2018-09-01
27,201810,316.6,71,34,36,1.0588235294117647,1.9722222222222223,4.4591549295774655,2018-10-01
27,201811,362.3,82,42,42,1.0,1.9523809523809523,4.418292682926829,2018-11-01
